ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CM
-14.974,-3.35,15.921,-3.662,7.202,-1.704,0.1663
-10.485,-3.35,15.921,-3.662,7.202,-1.704,0.0889
-8.861,-3.35,15.921,-3.662,7.202,-1.704,0.0674
-5.75,-3.35,15.921,-3.662,7.202,-1.704,0.0307
-2.185,-3.35,15.921,-3.662,7.202,-1.704,0.0046
1.03,-3.35,15.921,-3.662,7.202,-1.704,-0.0099
1.527,-3.35,15.921,-3.662,7.202,-1.704,-0.0117
2.278,-3.35,15.921,-3.662,7.202,-1.704,-0.0136
3.259,-3.35,15.921,-3.662,7.202,-1.704,-0.0152
4.902,-3.35,15.921,-3.662,7.202,-1.704,-0.0277
6.409,-3.35,15.921,-3.662,7.202,-1.704,-0.0492
7.044,-3.35,15.921,-3.662,7.202,-1.704,-0.0571
10.638,-3.35,15.921,-3.662,7.202,-1.704,-0.1041
13.398,-3.35,15.921,-3.662,7.202,-1.704,-0.1458
-14.974,-3.35,15.921,-3.662,7.202,-1.704,0.1663
-10.485,-3.35,15.921,-3.662,7.202,-1.704,0.0889
-8.861,-3.35,15.921,-3.662,7.202,-1.704,0.0674
-5.75,-3.35,15.921,-3.662,7.202,-1.704,0.0307
-2.185,-3.35,15.921,-3.662,7.202,-1.704,0.0046
1.03,-3.35,15.921,-3.662,7.202,-1.704,-0.0099
1.527,-3.35,15.921,-3.662,7.202,-1.704,-0.0117
2.278,-3.35,15.921,-3.662,7.202,-1.704,-0.0136
3.259,-3.35,15.921,-3.662,7.202,-1.704,-0.0152
4.902,-3.35,15.921,-3.662,7.202,-1.704,-0.0277
6.409,-3.35,15.921,-3.662,7.202,-1.704,-0.0492
7.044,-3.35,15.921,-3.662,7.202,-1.704,-0.0571
10.638,-3.35,15.921,-3.662,7.202,-1.704,-0.1041
13.398,-3.35,15.921,-3.662,7.202,-1.704,-0.1458
-14.015,-2.73,-6.255,-2.897,-14.703,1.506,0.136
-12.125,-2.73,-6.255,-2.897,-14.703,1.506,0.1025
-10.768,-2.73,-6.255,-2.897,-14.703,1.506,0.0823
-8.771,-2.73,-6.255,-2.897,-14.703,1.506,0.0548
-7.487,-2.73,-6.255,-2.897,-14.703,1.506,0.0383
-6.581,-2.73,-6.255,-2.897,-14.703,1.506,0.028
-6.537,-2.73,-6.255,-2.897,-14.703,1.506,0.0275
-6.319,-2.73,-6.255,-2.897,-14.703,1.506,0.0253
-1.936,-2.73,-6.255,-2.897,-14.703,1.506,-0.006
-1.933,-2.73,-6.255,-2.897,-14.703,1.506,-0.006
5.286,-2.73,-6.255,-2.897,-14.703,1.506,-0.0495
6.288,-2.73,-6.255,-2.897,-14.703,1.506,-0.0609
10.475,-2.73,-6.255,-2.897,-14.703,1.506,-0.1104
11.189,-2.73,-6.255,-2.897,-14.703,1.506,-0.1197
-14.35,0.63,3.286,-10.896,7.617,-14.52,0.1987
-12.337,0.63,3.286,-10.896,7.617,-14.52,0.1608
-11.654,0.63,3.286,-10.896,7.617,-14.52,0.1491
-10.186,0.63,3.286,-10.896,7.617,-14.52,0.1239
-6.93,0.63,3.286,-10.896,7.617,-14.52,0.0699
-4.059,0.63,3.286,-10.896,7.617,-14.52,0.0392
-2.114,0.63,3.286,-10.896,7.617,-14.52,0.0256
-1.953,0.63,3.286,-10.896,7.617,-14.52,0.0247
-1.597,0.63,3.286,-10.896,7.617,-14.52,0.0231
1.81,0.63,3.286,-10.896,7.617,-14.52,0.0094
4.651,0.63,3.286,-10.896,7.617,-14.52,-0.0162
7.409,0.63,3.286,-10.896,7.617,-14.52,-0.0564
8.518,0.63,3.286,-10.896,7.617,-14.52,-0.078
13.281,0.63,3.286,-10.896,7.617,-14.52,-0.1634
-14.832,-14.19,-18.112,-6.04,-8.528,14.188,0.1006
-11.57,-14.19,-18.112,-6.04,-8.528,14.188,0.0386
-11.241,-14.19,-18.112,-6.04,-8.528,14.188,0.0328
-8.857,-14.19,-18.112,-6.04,-8.528,14.188,-0.0068
-8.745,-14.19,-18.112,-6.04,-8.528,14.188,-0.0085
-6.99,-14.19,-18.112,-6.04,-8.528,14.188,-0.0332
-6.18,-14.19,-18.112,-6.04,-8.528,14.188,-0.0429
-5.419,-14.19,-18.112,-6.04,-8.528,14.188,-0.051
-5.027,-14.19,-18.112,-6.04,-8.528,14.188,-0.0548
-4.531,-14.19,-18.112,-6.04,-8.528,14.188,-0.0597
-2.798,-14.19,-18.112,-6.04,-8.528,14.188,-0.0698
-1.436,-14.19,-18.112,-6.04,-8.528,14.188,-0.0704
8.581,-14.19,-18.112,-6.04,-8.528,14.188,-0.1055
10.717,-14.19,-18.112,-6.04,-8.528,14.188,-0.1317
-12.979,10.66,5.675,9.35,-18.812,6.279,0.1248
-9.904,10.66,5.675,9.35,-18.812,6.279,0.0771
-4.618,10.66,5.675,9.35,-18.812,6.279,0.0215
-2.99,10.66,5.675,9.35,-18.812,6.279,0.0124
-1.828,10.66,5.675,9.35,-18.812,6.279,0.0111
-0.617,10.66,5.675,9.35,-18.812,6.279,0.0111
-0.262,10.66,5.675,9.35,-18.812,6.279,0.0113
2.444,10.66,5.675,9.35,-18.812,6.279,0.013
3.855,10.66,5.675,9.35,-18.812,6.279,0.0071
6.82,10.66,5.675,9.35,-18.812,6.279,-0.019
8.402,10.66,5.675,9.35,-18.812,6.279,-0.0406
10.474,10.66,5.675,9.35,-18.812,6.279,-0.0758
11.211,10.66,5.675,9.35,-18.812,6.279,-0.0892
12.704,10.66,5.675,9.35,-18.812,6.279,-0.1172
-14.913,8.17,7.106,4.909,13.016,-9.838,0.2047
-13.593,8.17,7.106,4.909,13.016,-9.838,0.184
-13.179,8.17,7.106,4.909,13.016,-9.838,0.1775
-10.271,8.17,7.106,4.909,13.016,-9.838,0.1338
-9.099,8.17,7.106,4.909,13.016,-9.838,0.119
-3.683,8.17,7.106,4.909,13.016,-9.838,0.0669
-3.079,8.17,7.106,4.909,13.016,-9.838,0.0627
0.843,8.17,7.106,4.909,13.016,-9.838,0.0538
2.576,8.17,7.106,4.909,13.016,-9.838,0.0513
3.018,8.17,7.106,4.909,13.016,-9.838,0.0489
6.506,8.17,7.106,4.909,13.016,-9.838,0.0208
7.105,8.17,7.106,4.909,13.016,-9.838,0.0139
7.631,8.17,7.106,4.909,13.016,-9.838,0.0072
11.813,8.17,7.106,4.909,13.016,-9.838,-0.0625
-14.464,-9.04,11.02,-6.519,-7.344,10.893,0.1158
-11.56,-9.04,11.02,-6.519,-7.344,10.893,0.0502
-10.346,-9.04,11.02,-6.519,-7.344,10.893,0.0264
-8.434,-9.04,11.02,-6.519,-7.344,10.893,-0.0068
-7.746,-9.04,11.02,-6.519,-7.344,10.893,-0.0164
-4.661,-9.04,11.02,-6.519,-7.344,10.893,-0.0491
-1.476,-9.04,11.02,-6.519,-7.344,10.893,-0.0628
-0.476,-9.04,11.02,-6.519,-7.344,10.893,-0.0626
-0.315,-9.04,11.02,-6.519,-7.344,10.893,-0.0625
0.416,-9.04,11.02,-6.519,-7.344,10.893,-0.0622
2.106,-9.04,11.02,-6.519,-7.344,10.893,-0.0633
5.051,-9.04,11.02,-6.519,-7.344,10.893,-0.0818
8.262,-9.04,11.02,-6.519,-7.344,10.893,-0.1166
8.557,-9.04,11.02,-6.519,-7.344,10.893,-0.1201
-10.457,0.22,18.768,-0.143,-0.124,16.002,0.0638
-9.347,0.22,18.768,-0.143,-0.124,16.002,0.0442
-7.976,0.22,18.768,-0.143,-0.124,16.002,0.02
-4.655,0.22,18.768,-0.143,-0.124,16.002,-0.0274
0.194,0.22,18.768,-0.143,-0.124,16.002,-0.0516
0.458,0.22,18.768,-0.143,-0.124,16.002,-0.0545
1.222,0.22,18.768,-0.143,-0.124,16.002,-0.0597
3.651,0.22,18.768,-0.143,-0.124,16.002,-0.0787
4.569,0.22,18.768,-0.143,-0.124,16.002,-0.0867
4.803,0.22,18.768,-0.143,-0.124,16.002,-0.0891
5.488,0.22,18.768,-0.143,-0.124,16.002,-0.0967
5.695,0.22,18.768,-0.143,-0.124,16.002,-0.0988
9.909,0.22,18.768,-0.143,-0.124,16.002,-0.1479
9.969,0.22,18.768,-0.143,-0.124,16.002,-0.1486
-14.92,1.11,-5.672,-0.201,-16.505,-14.913,0.2171
-11.99,1.11,-5.672,-0.201,-16.505,-14.913,0.1734
-10.69,1.11,-5.672,-0.201,-16.505,-14.913,0.1559
-10.19,1.11,-5.672,-0.201,-16.505,-14.913,0.1493
-9.44,1.11,-5.672,-0.201,-16.505,-14.913,0.1396
-4.08,1.11,-5.672,-0.201,-16.505,-14.913,0.0942
-3.61,1.11,-5.672,-0.201,-16.505,-14.913,0.0832
-2.87,1.11,-5.672,-0.201,-16.505,-14.913,0.0727
-2.81,1.11,-5.672,-0.201,-16.505,-14.913,0.0721
6.67,1.11,-5.672,-0.201,-16.505,-14.913,0.0085
9.99,1.11,-5.672,-0.201,-16.505,-14.913,-0.0515
11.43,1.11,-5.672,-0.201,-16.505,-14.913,-0.0782
12.69,1.11,-5.672,-0.201,-16.505,-14.913,-0.1019
12.7,1.11,-5.672,-0.201,-16.505,-14.913,-0.1021
-5.731,-5.73,4.443,-11.809,-2.109,-8.451,0.0272
-5.362,-5.73,4.443,-11.809,-2.109,-8.451,0.0231
-5.216,-5.73,4.443,-11.809,-2.109,-8.451,0.0216
-5.142,-5.73,4.443,-11.809,-2.109,-8.451,0.0208
-4.776,-5.73,4.443,-11.809,-2.109,-8.451,0.0173
-3.67,-5.73,4.443,-11.809,-2.109,-8.451,0.0059
-2.939,-5.73,4.443,-11.809,-2.109,-8.451,-0.0006
-2.316,-5.73,4.443,-11.809,-2.109,-8.451,-0.0046
-1.145,-5.73,4.443,-11.809,-2.109,-8.451,-0.0092
2.27,-5.73,4.443,-11.809,-2.109,-8.451,-0.0154
4.278,-5.73,4.443,-11.809,-2.109,-8.451,-0.0283
6.814,-5.73,4.443,-11.809,-2.109,-8.451,-0.0554
7.173,-5.73,4.443,-11.809,-2.109,-8.451,-0.0599
8.888,-5.73,4.443,-11.809,-2.109,-8.451,-0.0853
-11.229,13.37,-10.582,-9.232,7.026,-12.613,0.089
-11.134,13.37,-10.582,-9.232,7.026,-12.613,0.0873
-8.777,13.37,-10.582,-9.232,7.026,-12.613,0.051
-8.113,13.37,-10.582,-9.232,7.026,-12.613,0.0428
-6.783,13.37,-10.582,-9.232,7.026,-12.613,0.0287
-5.662,13.37,-10.582,-9.232,7.026,-12.613,0.0195
-2.638,13.37,-10.582,-9.232,7.026,-12.613,0.0066
-1.666,13.37,-10.582,-9.232,7.026,-12.613,0.008
0.644,13.37,-10.582,-9.232,7.026,-12.613,0.0145
3.581,13.37,-10.582,-9.232,7.026,-12.613,0.0148
4.786,13.37,-10.582,-9.232,7.026,-12.613,0.0062
6.331,13.37,-10.582,-9.232,7.026,-12.613,-0.0061
9.37,13.37,-10.582,-9.232,7.026,-12.613,-0.041
10.762,13.37,-10.582,-9.232,7.026,-12.613,-0.0617
-13.462,-6.25,16.286,-17.615,5.102,0.859,0.1134
-13.037,-6.25,16.286,-17.615,5.102,0.859,0.1054
-12.795,-6.25,16.286,-17.615,5.102,0.859,0.1009
-11.357,-6.25,16.286,-17.615,5.102,0.859,0.0747
-3.168,-6.25,16.286,-17.615,5.102,0.859,-0.0418
-3.058,-6.25,16.286,-17.615,5.102,0.859,-0.0429
-2.02,-6.25,16.286,-17.615,5.102,0.859,-0.0522
-0.226,-6.25,16.286,-17.615,5.102,0.859,-0.0606
0.667,-6.25,16.286,-17.615,5.102,0.859,-0.0639
1.356,-6.25,16.286,-17.615,5.102,0.859,-0.0665
1.707,-6.25,16.286,-17.615,5.102,0.859,-0.0679
8.679,-6.25,16.286,-17.615,5.102,0.859,-0.1312
9.135,-6.25,16.286,-17.615,5.102,0.859,-0.1367
14.3,-6.25,16.286,-17.615,5.102,0.859,-0.2131
-14.487,-10.24,-15.409,15.444,-14.52,4.696,0.1912
-12.529,-10.24,-15.409,15.444,-14.52,4.696,0.1524
-5.501,-10.24,-15.409,15.444,-14.52,4.696,0.0575
-5.083,-10.24,-15.409,15.444,-14.52,4.696,0.0542
-3.096,-10.24,-15.409,15.444,-14.52,4.696,0.0414
-0.012,-10.24,-15.409,15.444,-14.52,4.696,0.0393
1.246,-10.24,-15.409,15.444,-14.52,4.696,0.0391
3.207,-10.24,-15.409,15.444,-14.52,4.696,0.0332
3.382,-10.24,-15.409,15.444,-14.52,4.696,0.0318
5.86,-10.24,-15.409,15.444,-14.52,4.696,0.0051
5.882,-10.24,-15.409,15.444,-14.52,4.696,0.0049
9.272,-10.24,-15.409,15.444,-14.52,4.696,-0.0446
12.106,-10.24,-15.409,15.444,-14.52,4.696,-0.0935
12.86,-10.24,-15.409,15.444,-14.52,4.696,-0.1071
-14.537,-12.1,-14.239,19.053,-4.9,-2.874,0.2054
-12.498,-12.1,-14.239,19.053,-4.9,-2.874,0.1727
-10.567,-12.1,-14.239,19.053,-4.9,-2.874,0.1455
-7.977,-12.1,-14.239,19.053,-4.9,-2.874,0.1152
-6.45,-12.1,-14.239,19.053,-4.9,-2.874,0.1002
-6.086,-12.1,-14.239,19.053,-4.9,-2.874,0.0969
-4.755,-12.1,-14.239,19.053,-4.9,-2.874,0.0863
-1.9,-12.1,-14.239,19.053,-4.9,-2.874,0.0747
-0.396,-12.1,-14.239,19.053,-4.9,-2.874,0.0739
5.296,-12.1,-14.239,19.053,-4.9,-2.874,0.0532
6.763,-12.1,-14.239,19.053,-4.9,-2.874,0.036
9.376,-12.1,-14.239,19.053,-4.9,-2.874,-0.0033
11.717,-12.1,-14.239,19.053,-4.9,-2.874,-0.0442
14.237,-12.1,-14.239,19.053,-4.9,-2.874,-0.0937
-14.945,-10.52,-8.995,-12.327,-7.338,8.024,0.1211
-14.677,-10.52,-8.995,-12.327,-7.338,8.024,0.1148
-12.385,-10.52,-8.995,-12.327,-7.338,8.024,0.0611
-11.308,-10.52,-8.995,-12.327,-7.338,8.024,0.0368
-7.024,-10.52,-8.995,-12.327,-7.338,8.024,-0.0378
-3.421,-10.52,-8.995,-12.327,-7.338,8.024,-0.068
-1.772,-10.52,-8.995,-12.327,-7.338,8.024,-0.0723
-1.491,-10.52,-8.995,-12.327,-7.338,8.024,-0.0724
0.483,-10.52,-8.995,-12.327,-7.338,8.024,-0.0709
4.657,-10.52,-8.995,-12.327,-7.338,8.024,-0.0803
7.594,-10.52,-8.995,-12.327,-7.338,8.024,-0.1075
10.666,-10.52,-8.995,-12.327,-7.338,8.024,-0.1498
11.75,-10.52,-8.995,-12.327,-7.338,8.024,-0.1657
12.737,-10.52,-8.995,-12.327,-7.338,8.024,-0.1805
-11.029,-2.17,-8.576,8.673,11.365,-1.332,0.1409
-10.619,-2.17,-8.576,8.673,11.365,-1.332,0.1357
-8.709,-2.17,-8.576,8.673,11.365,-1.332,0.1126
-7.835,-2.17,-8.576,8.673,11.365,-1.332,0.1022
-4.45,-2.17,-8.576,8.673,11.365,-1.332,0.0744
0.015,-2.17,-8.576,8.673,11.365,-1.332,0.0353
0.918,-2.17,-8.576,8.673,11.365,-1.332,0.0324
1.004,-2.17,-8.576,8.673,11.365,-1.332,0.0322
3.056,-2.17,-8.576,8.673,11.365,-1.332,0.0239
5.009,-2.17,-8.576,8.673,11.365,-1.332,0.0241
5.127,-2.17,-8.576,8.673,11.365,-1.332,0.0243
5.593,-2.17,-8.576,8.673,11.365,-1.332,0.0182
6.515,-2.17,-8.576,8.673,11.365,-1.332,-0.001
7.473,-2.17,-8.576,8.673,11.365,-1.332,-0.016
-8.499,5.3,18.951,8.73,-0.482,6.793,0.0795
-6.76,5.3,18.951,8.73,-0.482,6.793,0.0584
-6.189,5.3,18.951,8.73,-0.482,6.793,0.0509
-5.82,5.3,18.951,8.73,-0.482,6.793,0.0483
2.022,5.3,18.951,8.73,-0.482,6.793,0.0063
4.345,5.3,18.951,8.73,-0.482,6.793,-0.009
4.658,5.3,18.951,8.73,-0.482,6.793,-0.0117
4.712,5.3,18.951,8.73,-0.482,6.793,-0.0122
4.822,5.3,18.951,8.73,-0.482,6.793,-0.0132
9.33,5.3,18.951,8.73,-0.482,6.793,-0.0654
9.354,5.3,18.951,8.73,-0.482,6.793,-0.0657
9.663,5.3,18.951,8.73,-0.482,6.793,-0.0698
13.235,5.3,18.951,8.73,-0.482,6.793,-0.1279
14.016,5.3,18.951,8.73,-0.482,6.793,-0.1432
-9.083,-13.09,1.303,11.661,-17.266,18.126,0.0555
-8.141,-13.09,1.303,11.661,-17.266,18.126,0.0408
-6.05,-13.09,1.303,11.661,-17.266,18.126,0.0115
-1.517,-13.09,1.303,11.661,-17.266,18.126,-0.021
0.928,-13.09,1.303,11.661,-17.266,18.126,-0.0187
2.684,-13.09,1.303,11.661,-17.266,18.126,-0.0193
6.064,-13.09,1.303,11.661,-17.266,18.126,-0.0388
7.371,-13.09,1.303,11.661,-17.266,18.126,-0.051
7.794,-13.09,1.303,11.661,-17.266,18.126,-0.0555
8.499,-13.09,1.303,11.661,-17.266,18.126,-0.0638
9.573,-13.09,1.303,11.661,-17.266,18.126,-0.0783
10.905,-13.09,1.303,11.661,-17.266,18.126,-0.1002
12.225,-13.09,1.303,11.661,-17.266,18.126,-0.1248
12.744,-13.09,1.303,11.661,-17.266,18.126,-0.135
-13.933,-11.11,-11.626,19.77,-7.98,9.523,0.1844
-12.458,-11.11,-11.626,19.77,-7.98,9.523,0.1551
-11.162,-11.11,-11.626,19.77,-7.98,9.523,0.131
-10.119,-11.11,-11.626,19.77,-7.98,9.523,0.1128
-3.708,-11.11,-11.626,19.77,-7.98,9.523,0.0385
-2.962,-11.11,-11.626,19.77,-7.98,9.523,0.0341
-2.503,-11.11,-11.626,19.77,-7.98,9.523,0.0333
-1.47,-11.11,-11.626,19.77,-7.98,9.523,0.0322
-1.396,-11.11,-11.626,19.77,-7.98,9.523,0.0321
-0.219,-11.11,-11.626,19.77,-7.98,9.523,0.0322
1.106,-11.11,-11.626,19.77,-7.98,9.523,0.0317
5.655,-11.11,-11.626,19.77,-7.98,9.523,0.0009
6.275,-11.11,-11.626,19.77,-7.98,9.523,-0.0066
6.955,-11.11,-11.626,19.77,-7.98,9.523,-0.0164
-12.439,-10.1,-5.712,6.248,1.05,18.233,0.105
-11.714,-10.1,-5.712,6.248,1.05,18.233,0.092
-11.386,-10.1,-5.712,6.248,1.05,18.233,0.0862
-10.968,-10.1,-5.712,6.248,1.05,18.233,0.079
-6.353,-10.1,-5.712,6.248,1.05,18.233,0.0044
-4.166,-10.1,-5.712,6.248,1.05,18.233,-0.0234
-2.698,-10.1,-5.712,6.248,1.05,18.233,-0.0369
0.54,-10.1,-5.712,6.248,1.05,18.233,-0.0421
3.248,-10.1,-5.712,6.248,1.05,18.233,-0.0467
3.527,-10.1,-5.712,6.248,1.05,18.233,-0.0484
5.645,-10.1,-5.712,6.248,1.05,18.233,-0.0626
6.372,-10.1,-5.712,6.248,1.05,18.233,-0.0687
9.373,-10.1,-5.712,6.248,1.05,18.233,-0.102
9.517,-10.1,-5.712,6.248,1.05,18.233,-0.104
-5.957,-7.79,14.613,0.003,-19.644,9.977,-0.0058
-4.687,-7.79,14.613,0.003,-19.644,9.977,-0.0177
-1.102,-7.79,14.613,0.003,-19.644,9.977,-0.0355
0.027,-7.79,14.613,0.003,-19.644,9.977,-0.0368
3.282,-7.79,14.613,0.003,-19.644,9.977,-0.047
4.903,-7.79,14.613,0.003,-19.644,9.977,-0.0595
4.932,-7.79,14.613,0.003,-19.644,9.977,-0.0598
5.68,-7.79,14.613,0.003,-19.644,9.977,-0.0665
6.518,-7.79,14.613,0.003,-19.644,9.977,-0.0747
9.403,-7.79,14.613,0.003,-19.644,9.977,-0.1076
10.515,-7.79,14.613,0.003,-19.644,9.977,-0.1217
12.397,-7.79,14.613,0.003,-19.644,9.977,-0.1491
12.741,-7.79,14.613,0.003,-19.644,9.977,-0.1542
13.895,-7.79,14.613,0.003,-19.644,9.977,-0.172
-14.477,-8.94,-9.676,-8.605,-11.772,-14.028,0.1701
-9.807,-8.94,-9.676,-8.605,-11.772,-14.028,0.0963
-8.545,-8.94,-9.676,-8.605,-11.772,-14.028,0.0798
-6.264,-8.94,-9.676,-8.605,-11.772,-14.028,0.0542
-1.741,-8.94,-9.676,-8.605,-11.772,-14.028,0.0259
-0.277,-8.94,-9.676,-8.605,-11.772,-14.028,0.024
0.708,-8.94,-9.676,-8.605,-11.772,-14.028,0.0234
1.132,-8.94,-9.676,-8.605,-11.772,-14.028,0.023
4.195,-8.94,-9.676,-8.605,-11.772,-14.028,0.0105
5.826,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0044
6.539,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0121
8.16,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0326
11.512,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0895
13.993,-8.94,-9.676,-8.605,-11.772,-14.028,-0.1376
-11.173,-5.78,1.149,-4.525,13.196,9.883,0.0546
-7.914,-5.78,1.149,-4.525,13.196,9.883,0.003
-7.453,-5.78,1.149,-4.525,13.196,9.883,-0.003
-7.251,-5.78,1.149,-4.525,13.196,9.883,-0.0055
-4.244,-5.78,1.149,-4.525,13.196,9.883,-0.0373
-1.008,-5.78,1.149,-4.525,13.196,9.883,-0.0496
-0.483,-5.78,1.149,-4.525,13.196,9.883,-0.0498
1.079,-5.78,1.149,-4.525,13.196,9.883,-0.0517
2.358,-5.78,1.149,-4.525,13.196,9.883,-0.057
5.102,-5.78,1.149,-4.525,13.196,9.883,-0.0825
